date,stock_code,open,high,low,close
2022-08-26,ASII,6975,7025,6850,6875
2022-08-29,ASII,6800,6900,6750,6825
2022-08-30,ASII,6850,7025,6850,6900
2022-08-31,ASII,6875,6975,6775,6975
2022-09-01,ASII,6975,7025,6900,6925
2022-09-02,ASII,6950,7000,6875,6925
2022-09-05,ASII,6900,6925,6850,6875
2022-09-06,ASII,6875,6950,6850,6900
2022-09-07,ASII,6800,6875,6625,6650
2022-09-08,ASII,6650,6750,6625,6650
2022-09-09,ASII,6675,6775,6625,6775
2022-09-12,ASII,6775,6975,6725,6975
2022-09-13,ASII,7025,7225,6950,7200
2022-09-14,ASII,7100,7300,7050,7150
2022-09-15,ASII,7125,7225,7050,7050
2022-09-16,ASII,7000,7050,6900,6900
2022-09-19,ASII,6950,7225,6925,7125
2022-09-20,ASII,7150,7250,7100,7175
2022-09-21,ASII,7125,7200,7100,7150
2022-09-22,ASII,7025,7225,7000,7175
2022-09-23,ASII,7100,7175,7050,7150
2022-09-26,ASII,7000,7025,6850,6975
2022-09-27,ASII,7000,7050,6950,6950
2022-09-28,ASII,6950,7000,6800,6800
2022-09-29,ASII,6850,6900,6700,6775
2022-09-30,ASII,6700,6750,6600,6625
2022-10-03,ASII,6650,6700,6600,6625
2022-10-04,ASII,6725,6800,6700,6725
2022-10-05,ASII,6800,6825,6675,6675
2022-10-06,ASII,6675,6750,6600,6600
2022-10-07,ASII,6550,6575,6450,6475
2022-10-10,ASII,6425,6525,6375,6500
2022-10-11,ASII,6400,6575,6400,6525
2022-10-12,ASII,6450,6475,6350,6350
2022-10-13,ASII,6375,6400,6275,6350
2022-10-14,ASII,6500,6500,6350,6350
2022-10-17,ASII,6325,6525,6200,6425
2022-10-18,ASII,6450,6500,6350,6350
2022-10-19,ASII,6425,6525,6400,6525
2022-10-20,ASII,6500,6525,6400,6425
2022-10-21,ASII,6475,6675,6450,6575
2022-10-24,ASII,6575,6700,6575,6650
2022-10-25,ASII,6700,6700,6600,6700
2022-10-26,ASII,6700,6700,6575,6575
2022-10-27,ASII,6575,6675,6525,6650
2022-10-28,ASII,6650,6650,6500,6550
2022-10-31,ASII,6550,6650,6550,6650
2022-11-01,ASII,6650,6675,6475,6575
2022-11-02,ASII,6525,6550,6375,6425
2022-11-03,ASII,6375,6425,6350,6375
2022-11-04,ASII,6350,6425,6350,6425
2022-11-07,ASII,6425,6500,6425,6500
2022-11-08,ASII,6500,6525,6450,6525
2022-11-09,ASII,6525,6550,6475,6550
2022-11-10,ASII,6550,6550,6450,6525
2022-11-11,ASII,6600,6625,6450,6450
2022-11-14,ASII,6450,6475,6300,6300
2022-11-15,ASII,6300,6350,6200,6225
2022-11-16,ASII,6175,6200,6100,6175
2022-11-17,ASII,6200,6300,6050,6300
2022-11-18,ASII,6275,6300,6200,6225
2022-11-21,ASII,6275,6350,6250,6325
2022-11-22,ASII,6325,6350,6225,6225
2022-11-23,ASII,6275,6300,6200,6200
2022-11-24,ASII,6200,6275,6200,6200
2022-11-25,ASII,6175,6200,6125,6175
2022-11-28,ASII,6175,6275,6150,6225
2022-11-29,ASII,6125,6150,6025,6050
2022-11-30,ASII,6050,6200,6025,6050
2022-12-01,ASII,6100,6200,6100,6175
2022-12-02,ASII,6175,6175,6050,6125
2022-12-05,ASII,6075,6100,6000,6025
2022-12-06,ASII,6000,6025,5800,5875
2022-12-07,ASII,5800,5900,5700,5725
2022-12-08,ASII,5650,5800,5550,5675
2022-12-09,ASII,5700,5750,5650,5675
2022-12-12,ASII,5675,5725,5625,5675
2022-12-13,ASII,5700,5900,5675,5825
2022-12-14,ASII,5925,5950,5775,5825
2022-12-15,ASII,5825,5850,5750,5800
2022-12-16,ASII,5775,5800,5700,5775
2022-12-19,ASII,5850,5850,5650,5700
2022-12-20,ASII,5675,5750,5675,5700
2022-12-21,ASII,5700,5725,5650,5700
2022-12-22,ASII,5700,5775,5675,5775
2022-12-23,ASII,5750,5775,5650,5675
2022-12-26,ASII,5675,5725,5625,5650
2022-12-27,ASII,5700,5750,5650,5675
2022-12-28,ASII,5725,5725,5575,5625
2022-12-29,ASII,5600,5675,5550,5650
2022-12-30,ASII,5675,5750,5650,5700
2023-01-02,ASII,5725,5725,5625,5700
2023-01-03,ASII,5675,5700,5625,5650
2023-01-04,ASII,5650,5700,5625,5675
2023-01-05,ASII,5650,5700,5375,5375
2023-01-06,ASII,5400,5525,5350,5450
2023-01-09,ASII,5500,5500,5275,5350
2023-01-10,ASII,5375,5375,5275,5325
2023-01-11,ASII,5325,5350,5200,5225
2023-01-12,ASII,5200,5375,5200,5350
2023-01-13,ASII,5375,5500,5300,5450
2023-01-16,ASII,5525,5600,5475,5600
2023-01-17,ASII,5600,5650,5500,5550
2023-01-18,ASII,5550,5650,5550,5650
2023-01-19,ASII,5650,5875,5650,5850
2023-01-20,ASII,5875,5900,5775,5900
2023-01-24,ASII,5900,5950,5850,5925
2023-01-25,ASII,5900,5950,5850,5950
2023-01-26,ASII,5925,5950,5850,5900
2023-01-27,ASII,5925,5950,5875,5875
2023-01-30,ASII,5875,5900,5775,5875
2023-01-31,ASII,5925,6025,5900,6000
2023-02-01,ASII,6000,6000,5925,6000
2023-02-02,ASII,5950,5975,5875,5925
2023-02-03,ASII,5975,5975,5875,5875
2023-02-06,ASII,5875,5900,5825,5850
2023-02-07,ASII,5825,5925,5825,5875
2023-02-08,ASII,5875,5900,5775,5800
2023-02-09,ASII,5825,5850,5675,5675
2023-02-10,ASII,5600,5700,5550,5700
2023-02-13,ASII,5700,5750,5675,5725
2023-02-14,ASII,5750,5800,5700,5725
2023-02-15,ASII,5725,5725,5575,5675
2023-02-16,ASII,5700,5700,5625,5700
2023-02-17,ASII,5700,5725,5625,5675
2023-02-20,ASII,5675,5700,5575,5600
2023-02-21,ASII,5600,5650,5550,5575
2023-02-22,ASII,5550,5650,5550,5625
2023-02-23,ASII,5650,5700,5575,5650
2023-02-24,ASII,5675,5800,5650,5750
2023-02-27,ASII,5725,5800,5700,5800
2023-02-28,ASII,6200,6275,6100,6100
